email;phone;Domain
antonis.@hotmail.com;+49 58468528;firefox
markos.@hotmail.com;+49 77192444;firefox
vagelis.@hotmail.com;+49 38312055;Google.com
silva.@hotmail.com;+49 35933755;Google.com
manos.@hotmail.com;+49 88611566;safari.com
stavros.@hotmail.com;+49 29774765;firefox
giorgos.@hotmail.com;+49 75172946;yahoo.gr
vasilis.@hotmail.com;+49 25255120;safari.com
migos.@hotmail.com;+49 96647160;firefox
labros.@hotmail.com;+49 17737300;Google.com
eirini.@hotmail.com;+49 90917523;safari.com
korina.@hotmail.com;+49 48679761;Google.com
maroulis.@hotmail.com;+49 42736081;safari.com
laros.@hotmail.com;+49 82347572;yahoo.gr
panos.@hotmail.com;+49 98935521;safari.com
panagiotis.@hotmail.com;+49 32600362;safari.com
xatzis.@hotmail.com;+49 20746805;safari.com
antonis.@hotmail.com;+49 57373957;yahoo.gr
antonis.@hotmail.com;+49 11282883;yahoo.gr
markos.@hotmail.com;+49 43548460;yahoo.gr
